MemTotal:        3754184 kB
MemFree:           94684 kB
MemAvailable:     728212 kB
Buffers:            1768 kB
Cached:           689180 kB
SwapCached:        17092 kB
Active:           712060 kB
Inactive:         858552 kB
Active(anon):     401020 kB
Inactive(anon):   495404 kB
Active(file):     311040 kB
Inactive(file):   363148 kB
Unevictable:        4752 kB
Mlocked:            4752 kB
SwapTotal:       8388604 kB
SwapFree:        6644420 kB
Dirty:               624 kB
Writeback:            12 kB
AnonPages:        882632 kB
Mapped:           523620 kB
Shmem:             16376 kB
KReclaimable:     120008 kB
Slab:             436420 kB
SReclaimable:     104404 kB
SUnreclaim:       332016 kB
KernelStack:       72692 kB
ShadowCallStack:   18220 kB
PageTables:       115768 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    10265696 kB
Committed_AS:   226232232 kB
VmallocTotal:   261087232 kB
VmallocUsed:      253572 kB
VmallocChunk:          0 kB
Percpu:            11968 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         606208 kB
CmaFree:             644 kB
system:            53184 kB
system-uncached:   86640 kB
DmaHeapPool:       15604 kB
zram0:            510584 kB
