Tasks: 885 total,   7 running, 878 sleeping,   0 stopped,   0 zombie
  Mem:  3754184K total,  3669424K used,    84760K free,     1752K buffers
 Swap:  8388604K total,  1717148K used,  6671456K free,   657376K cached
800%cpu 181%user   3%nice 200%sys 384%idle   3%iow  25%irq   3%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
   95 root         20   0    0    0    0 R 65.6   0.0   9:17.21 [kswapd0]
 2162 u0_a65       10 -10  11G 277M 137M R 50.0   7.5   7:00.65 com.android.systemui
 1694 system       18  -2  19G 309M 144M S 43.7   8.4  49:10.89 system_server
 1160 system       -3  -8 3.1G  23M  14M S 43.7   0.6   7:21.68 surfaceflinger
18078 u0_a340      10 -10  17G 869M 598M S 37.5  23.7   0:41.64 com.sample.oda.qa
 1102 system       -3  -8 2.6G 7.5M 4.8M S 25.0   0.2   4:23.33 android.hardware.graphics.composer@3.4-service
18939 shell        20   0 2.1G 4.9M 3.7M R 18.7   0.1   0:00.09 top -b -n 1
 1097 audioserver  20   0 3.0G 9.2M 6.4M S 18.7   0.2   5:32.71 android.hardware.audio.service-aidl.mediatek
13042 u0_a76       20   0 8.7G  71M  49M R 12.5   1.9   0:04.13 com.facebook.services
 5560 system       20   0 8.3G  52M  35M S 12.5   1.4   0:16.86 com.sec.android.diagmonagent
 1141 audioserver  20   0 2.8G  15M  10M S  9.3   0.3   4:12.13 audioserver
12400 root          0 -20    0    0    0 I  6.2   0.0   0:02.82 [kworker/u33:2-ged_notify_sw_vsync]
 3038 bluetooth    20   0 8.8G  57M  40M S  6.2   1.5   0:47.03 com.android.bluetooth
  452 logd         30  10 2.1G 5.4M 4.0M S  6.2   0.1   2:02.30 logd
15268 root          0 -20    0    0    0 I  3.1   0.0   0:00.11 [kworker/1:1H-kblockd]
15206 root          0 -20    0    0    0 I  3.1   0.0   0:01.56 [kworker/u33:0-mali_jd]
13677 root         20   0    0    0    0 I  3.1   0.0   0:00.11 [kworker/7:8-events]
 7609 root          0 -20    0    0    0 R  3.1   0.0   0:08.43 [kworker/u33:1-ufs_clk_gating_0]
31076 u0_a101      20   0 9.0G  73M  51M S  3.1   1.9   0:11.57 com.samsung.android.rubin.app
18546 u0_a235      20   0 8.5G  52M  39M S  3.1   1.4   0:04.33 com.google.android.apps.messaging:rcs
 5578 system       20   0 8.7G  58M  38M S  3.1   1.5   2:02.22 com.sec.android.sdhms
 2327 network_stack 20  0 8.4G  53M  37M S  3.1   1.4   0:25.70 com.android.networkstack.process
 1098 bluetooth    20   0 2.1G 3.3M 3.3M S  3.1   0.0   0:04.35 android.hardware.bluetooth-service-mediatek
  211 root         RT   0    0    0    0 S  3.1   0.0   0:29.37 [signal_fence]
  164 root         39  19    0    0    0 S  3.1   0.0   0:02.34 [dmabuf-deferred-free-worker]
   19 root         -2   0    0    0    0 S  3.1   0.0   0:06.67 [rcuog/0]
18816 u0_a186      20   0 8.0G  59M  43M S  0.0   1.6   0:00.19 com.samsung.android.privateaccesstokens
18813 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:4H]
18765 root          0 -20    0    0    0 I  0.0   0.0   0:00.02 [kworker/2:6H-kverityd]
18751 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/5:6H-kverityd]
18749 root          0 -20    0    0    0 I  0.0   0.0   0:00.02 [kworker/4:7H-kverityd]
18698 root          0 -20    0    0    0 I  0.0   0.0   0:00.03 [kworker/5:5H-fsverity_read_queue]
18687 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase_event]
18681 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:8H-kverityd]
18680 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:7H]
18679 root          0 -20    0    0    0 I  0.0   0.0   0:00.06 [kworker/3:6H-kverityd]
18678 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:5H-kverityd]
18650 u0_a234      20   0 8.0G  63M  47M S  0.0   1.7   0:00.36 com.google.android.apps.turbo
18581 u0_a203      20   0 9.4G  91M  67M S  0.0   2.4   0:01.13 com.sec.android.daemonapp
18483 u0_a251      20   0  32G  62M  49M S  0.0   1.6   0:00.39 com.android.chrome
18293 root          0 -20    0    0    0 I  0.0   0.0   0:00.01 [kworker/7:7H-kverityd]
18284 root          0 -20    0    0    0 I  0.0   0.0   0:00.01 [kworker/6:7H-kverityd]
18255 root          0 -20    0    0    0 I  0.0   0.0   0:00.04 [kworker/7:6H-kverityd]
18227 u0_a132      20   0 8.0G  57M  41M S  0.0   1.5   0:00.37 com.sec.android.app.soundalive
18223 root          0 -20    0    0    0 I  0.0   0.0   0:00.03 [kworker/6:5H-kverityd]
18211 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase_event]
18130 root          0 -20    0    0    0 I  0.0   0.0   0:00.07 [kworker/4:6H-kverityd]
18010 u0_a312      12  -8  10G  74M  59M S  0.0   2.0   0:01.08 com.microsoft.office.officehubrow
17937 u0_a236      20   0 9.0G  93M  61M S  0.0   2.5   0:00.73 com.android.vending:background
17798 u0_a108      20   0  10G  67M  53M S  0.0   1.8   0:00.79 com.osp.app.signin
17747 vendor_mdxkit 20  0 8.7G  52M  37M S  0.0   1.4   0:00.18 com.samsung.android.mdx.kit
17698 vendor_sharelive 20 0 9.2G 65M 45M S  0.0   1.7   0:00.68 com.samsung.android.app.sharelive
17642 root          0 -20    0    0    0 I  0.0   0.0   0:00.01 [kworker/2:5H-kverityd]
17470 u0_a111      20   0 9.2G  56M  42M S  0.0   1.5   0:00.43 com.samsung.android.mobileservice
17412 root          0 -20    0    0    0 I  0.0   0.0   0:00.03 [kworker/4:5H-kverityd]
17204 u0_a236      20   0 9.2G  94M  70M S  0.0   2.5   0:02.48 com.android.vending
17172 u0_a74       20   0 8.0G  49M  36M S  0.0   1.3   0:00.11 com.facebook.system
17053 vendor_cmhservice 20 0 8.1G 54M 39M S 0.0   1.4   0:00.31 com.samsung.storyservice
17033 u0_a164      20   0 8.5G  62M  47M S  0.0   1.6   0:02.02 com.facebook.appmanager
17000 u0_a230      20   0 8.1G  53M  40M S  0.0   1.4   0:00.36 com.google.android.partnersetup
16952 system       20   0 8.2G  57M  44M S  0.0   1.5   0:00.89 com.samsung.android.dqagent
16575 vendor_cmhservice 20 0 9.1G 57M 41M S 0.0   1.5   0:00.64 com.samsung.cmh
16512 u0_a248      20   0 8.1G  54M  40M S  0.0   1.4   0:00.24 com.google.android.webview:webview_service
16062 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase_event]
15992 root          0 -20    0    0    0 I  0.0   0.0   0:00.02 [kworker/6:4H-kverityd]
15918 u0_a66       20   0 8.7G  60M  45M S  0.0   1.6   0:00.74 android.process.media
15916 u0_a270      10 -10 8.5G  63M  46M S  0.0   1.7   0:01.57 com.google.android.adservices.api
15907 root          0 -20    0    0    0 I  0.0   0.0   0:00.04 [kworker/2:4H-kverityd]
15887 root          0 -20    0    0    0 I  0.0   0.0   0:00.02 [kworker/0:4H-kverityd]
15813 root          0 -20    0    0    0 I  0.0   0.0   0:00.10 [kworker/7:5H-kverityd]
